"_raw",CharCount
"வாளற்றுப் புற்கென்ற கண்ணும் அவர்சென்ற
நாளொற்றித் தேய்ந்த விரல் ⁠1261",32
"நிணந்தீயில் இட்டன்ன நெஞ்சினார்க்கு உண்டோ
புணர்ந்தூடி நிற்பேம் எனல் ⁠1260",34
"புலப்பல் எனச்சென்றேன் புல்லினேன் நெஞ்சம்
கலத்தல் உறுவது கண்டு ⁠1259",33
"பன்மாயக் கள்வன் பணிமொழி அன்றோநம்
பெண்மை உடைக்கும் படை ⁠1258",28
"நாணென ஒன்றோ அறியலம் காமத்தால்
பேணியார் பெட்ப செயின் ⁠1257",26
"செற்றவர் பின்சேறல் வேண்டி அளித்தரோ
எற்றென்னை உற்ற துயர் ⁠1256",29
"செற்றார்பின் செல்லாப் பெருந்தகைமை காமநோய்
உற்றார் அறிவதொன்று அன்று ⁠1255",33
"நிறையுடையேன் என்பேன்மன் யானோஎன் காமம்
மறையிறந்து மன்று படும் ⁠1254",31
"மறைப்பேன்மன் காமத்தை யானோ குறிப்பின்றித்
தும்மல்போல் தோன்றி விடும் ⁠1253",32
"காமம் எனவொன்றோ கண்ணின்றென் நெஞ்சத்தை
யாமத்தும் ஆளும் தொழில் ⁠1252",30
"காமக் கணிச்சி உடைக்கும் நிறையென்னும்
நாணுத்தாழ் வீழ்த்த கதவு ⁠1251",30
"துன்னாத் துறந்தாரை நெஞ்சத்து உடையேமா
இன்னும் இழத்தும் கவின் ⁠1250",30
"உள்ளத்தார் காத லவரால் உள்ளிநீ
யாருழைச் சேறியென் நெஞ்சு ⁠1249",27
"பரிந்தவர் நல்காரென்று ஏங்கிப் பிரிந்தவர்
பின்செல்வாய் பேதைஎன் நெஞ்சு ⁠1248",35
"காமம் விடுஒன்றோ நாண்விடு நன்னெஞ்சே
யானோ பொறேன்இவ் விரண்டு ⁠1247",28
"கலந்துணர்த்தும் காதலர்க் கண்டாற் புலந்துணராய்
பொய்க்காய்வு காய்திஎன் நெஞ்சு ⁠1246",39
"செற்றார் எனக்கை விடல்உண்டோ நெஞ்சேயாம்
உற்றால் உறாஅ தவர் ⁠1245",29
"கண்ணும் கொளச்சேறி நெஞ்சே இவையென்னைத்
தின்னும் அவர்க்காணல் உற்று ⁠1244",32
"இருந்துள்ளி என்பரிதல் நெஞ்சே பரிந்துள்ளல்
பைதல்நோய் செய்தார்கண் இல் ⁠1243",35
"காதல் அவரிலர் ஆகநீ நோவது
பேதைமை வாழியென் நெஞ்சு ⁠1242",24
"நினைத்தொன்று சொல்லாயோ நெஞ்சே எனைத்தொன்றும்
எவ்வநோய் தீர்க்கும் மருந்து ⁠1241",34
"கண்ணின் பசப்போ பருவரல் எய்தின்றே
ஒண்ணுதல் செய்தது கண்டு ⁠1240",30
"முயக்கிடைத் தண்வளி போழப் பசப்புற்ற
பேதை பெருமழைக் கண் ⁠1239",28
"முயங்கிய கைகளை ஊக்கப் பசந்தது
பைந்தொடிப் பேதை நுதல் ⁠1238",27
"பாடு பெறுதியோ நெஞ்சே கொடியார்க்கென்
வாடுதோட் பூசல் உரைத்து ⁠1237",27
"தொடியொடு தோள்நெகிழ நோவல் அவரைக்
கொடியர் எனக்கூறல் நொந்து ⁠1236",29
